Protein_ID,Group_A_1,Group_A_2,Group_A_3,Group_B_1,Group_B_2,Group_B_3,Group_C_1,Group_C_2,Group_C_3,Group_D_1,Group_D_2,Group_D_3
Q96CU9,3345595.303,4156607.462,2338672.414,4650244.2,5233520.973,5174607.515,3321509.13,4040302.055,5528053.889,3812422.549,3997625.013,4548343.216
A6NP61,175797811.1,158476889.8,180240953.3,137960241,165427330.6,244946886,141837084.6,135383013.8,176606712.2,152845570.4,178410369.3,199689639.1
Q99884,8766260.442,10899735.86,9447068.737,,10588955.55,9162015.087,7864543.133,11322871.19,10535079.84,7161513.273,8846142.254,9476077.628
Q6ZSI9,20491478,24507925.12,23675127.3,20477790.34,19270495.18,22383216.05,9083706.57,9786751.866,11736537.5,17463315.74,,22910986.13
P58417,38183710.76,27464145.32,37669988.54,18083793.79,17442209.81,17564260.96,12632360.65,11701649.01,10115199.26,26985704.86,27843093.53,32109034.41
A6NDE8,38713664.72,,49539421.36,16898459.87,19665602.36,18954929.59,44930423.62,41054800.2,52005178.63,35219964.29,59570691.94,40838084.22
E5RG02,41982187.53,36370338.27,42054940.46,32205271.08,48159851.23,44553629.54,39330464.36,36400473.9,35824495.56,24436360.55,35709522.53,40363445.92
Q7Z3V5,31672359.01,35028051.61,31112251.61,27477148.79,31452730.44,33920942.12,29174987.04,25901058.77,22122509.73,24857777.76,26286208.53,
Q30KR1,19938533.23,20334732.82,22829807.18,13718164.74,25731279.69,16856714.59,19109056.02,15926922.05,18796587.38,18300136,14336967.57,23720269.99
O43837,,19247269.75,24593077.44,,,20611188.38,20176813.71,22950342.75,18070730.46,19756258.64,15505709.94,27608517.42
Q96CG3,39070603.99,82182384.67,60786699.63,54026499.74,54769759.98,55197528.73,38536193.67,46069624.34,61341459.79,34228065.35,26116699.73,29991128.42
Q06830,2852985.412,3242334.652,2677089.477,4544422.817,5758048.639,3811664.983,2311816.611,3427344.071,3813175.585,2943451.471,3515788.393,3491557.958
Q01085,353569375.1,263958021.9,560374873.9,446870308.2,391113073.7,768998621.5,237454948.5,345028989.4,347836945,464386800.2,557165909.8,313526185.2
O15228,40717888.08,67111778.82,59855308.55,48666716.52,60999032,57174827.61,52292163.3,61165806.74,75139369.42,42729052.92,43310590.66,68555866.4
Q76EJ3,137192739.5,185426247.5,212773535.1,162135403.3,,182454351.5,106442685.1,132586666.4,,105734779.9,233747725.9,229997863.3
Q9BY43,285382235.3,243596923.5,274276001.4,178131377.3,272611978.5,269706264.2,178702169.1,343652741.1,210649358.2,136960817,209849312.9,331998415.4
Q8TBX8,9537210.25,8529224.405,9500359.341,,10173896.85,11086063.89,10028266.21,,,10469287.61,10212803.72,13403011.83
P15882,77411807.8,72773316.44,114697109.5,78220104.13,55282865.2,87697047.99,75586592.5,70577891.53,,38349484.39,50333230.81,44927802.47
Q16526,11801176.55,,19234902.12,10486533.08,18782847.42,18440721.7,29906480.43,16583492.66,,19212372.79,10608115.91,12599119.9
Q63HK5,216345283.7,368121117.3,476221932.4,345061284.4,308457543.9,554316122,478018421.5,409693055.1,324531749.3,416703922.6,265809509.8,255125904.9
Q15004,29324980.2,,40163543.27,26728121.14,17072310.61,23976480.97,31408909.39,21205251,22680898.1,24406292.45,25209355.96,31559127.11
Q8TD16,,2356086840,4688165515,3395841439,2067437774,3094650492,3498315262,,2278095646,3034292861,3627898917,2632552925
Q99798,7190834.632,12678856.2,,7335063.309,5393669.064,,10178514.73,4280809.878,9401573.545,8159584.798,9572550.335,8985940.095
O95235,5406571.987,8320196.671,8797945.828,,3474791.206,4894054.871,7399326.472,6396312.789,7507008.694,5723342.988,6411424.661,3582460.783
Q9Y689,3032260.596,3207301.854,3669178.096,3332992.533,3135045.426,2570001.5,2164375.541,,2650245.048,2676580.001,,2577720.851
Q9NYW7,63763591.15,86727475.94,97773942.91,26772389.47,46092145.6,35350062.68,60370977.71,130274094.6,119050685.6,62277200.11,89028190.92,
P0DUX0,,32844305.84,39798816.89,34442985.43,38164035.93,44677149.65,54281790.75,,64550027.01,56644438.86,56168906.39,70884077.82
A6NNW6,96253091.38,120054365.3,129576367,71140059.38,94810611.39,137396799.8,105175134.3,121843492.9,,122389886.4,84841962.83,
Q8TD30,113880884.7,113268264.7,,104874928.1,136547926.9,120711819.4,113401408.5,100714588.1,162811279.8,121004591.8,108645968.1,134355474.1
Q96CK0,129557880.2,104635686.2,134333083.2,63119889.78,163302295.1,157859641.8,129162811.5,196807465.6,173418475.5,156201289.9,153585240.5,109308740.8
Q9UKZ4,7331512.077,6984647.932,8539384.26,8392392.699,9170835.535,8238563.8,6993639.486,9541251.95,10207439.03,7939401.247,6439781.742,7158068.632
Q9UNP4,8732636.894,10863868.23,14689174.74,9068568.768,6259666.484,9013969.858,7361435.045,11664726.52,7295240.186,8631157.28,9025263.326,
Q9Y5G4,10891401.53,17424092.06,13210704.06,10740500.89,11683414.19,17349486.06,10152334.24,13749718.58,11994553.52,,10288930.26,19188323.85
Q9P2Y5,28719160.51,33013755.58,31062092.29,29179391.36,37383539.82,37538084.57,52713036.13,19213590.51,33201733.35,29625619.53,47230176.4,37664593.46
Q8N7Q2,49493000.51,54745579.1,70009204.82,54895629.05,64816659.72,48294985.95,28058429.86,21434755.81,,,54463672.99,47614732.8
Q9UMR2,81561174.45,68992885.92,134536509.6,,68099760.73,,77879259.88,83842703.36,107801528.5,177184933.4,256619402.2,223776732.6
P16444,48324532.8,66179207.33,64402506.28,66271820.41,69109103.33,93249820.99,86929092.74,,,65077607.6,65970891.23,144917957.6
P0CG00,46871702.04,82988055.12,126412756.9,92132334.13,64539537.86,96265085.6,70061239.2,84512186.46,106472617.1,,86938805.05,79600275.44
Q53RE8,65441115.64,131253344.7,85151312.45,71666836.57,73605543.32,,81466328.44,72499669.71,68477050.55,70894857.64,,89181775.15
O95948,14649208.7,20545699.81,21260163.82,,11211660.37,12989543.22,,15313937.71,17405141.54,13260661.81,21603692.78,18691836.91
O15379,,11448114.2,15514479.51,7895133.332,8193268.967,9379994.789,9649319.114,11714659.46,12595726.38,6470388.094,11651166.28,14031629.46
O95567,,46216238.29,62649016.09,62141424.38,44002206.49,32190723.71,42730934.62,,,43860473.86,24523486.46,36191201.29
O00763,17480515.99,18467115.21,20352198.99,22371836.61,22350528.62,22249808.69,17557601.75,19438423.46,18856144.08,19849454.84,22081414.3,23896522.03
P63131,6962663.853,,,1863614.236,4584237.644,4920249.134,6779523.322,,6029351.001,9845572.124,6601486.942,10001735.71
Q8IVI9,253137724.9,216155735.1,415196355.7,184817645.7,,221414130.2,,262572951.7,280348098.9,351549482.6,266735957.9,273298388.7
Q13268,,2431087.688,,2455656.659,2865351.136,3400697.73,2744957.598,2027604.537,3835935.385,2116934.393,3428946.868,2782095.547
Q17RP2,217889662.8,223985888.5,287639335.3,251767037.2,516076010.1,272542326.2,177364918.5,251208619.9,338055755.1,201613799.6,,285222151.8
P51864,76625180.27,78919044.66,74230953.36,82237318.45,54550157.22,37130666.44,66544563.65,90692491.66,61783498.58,47705282.31,57942871.53,46902964.42
Q9NP99,122123940.9,165516361.5,151857986.4,121080836.3,,197932114.3,,189441672.4,169491917,144927241.1,184196713.2,
Q96A59,35323096.82,59420214.27,34735863.14,74435915.47,62951234.19,39124825.95,31761984.93,67727640.14,46157074.62,45138855.55,39223499.03,43137642.45
P50221,24970809.47,24718977.35,21036228.21,28751694.15,26461566.54,23197964.97,24066937.17,17578697.27,39601391.21,20732383.41,19458852.46,30552114.17
Q8TB69,14337840.98,14834295.11,17818773.08,,17173224.05,13049256.12,14055728.86,14719874.17,13414716.92,40454090.17,38219347.47,42767398.74
Q9NS71,12152635.45,10388924.01,12055674.91,9541075.153,11700177.69,,8950817.275,12227518.8,10802080.26,8522124.772,,9221391.82
Q9UII6,17009598.08,,17197543.98,13825300.59,14952501.15,17047583.84,13019036.21,12132549.77,12839809.23,15407349.3,16212992.94,14717583.27
Q9UPQ7,,116713641.6,131342054.6,75609453.08,149075408.3,115987441.1,95558562.79,134127693,98274184.27,88094758.99,88172599.08,119235483.7
O43307,438917420.4,464298835.1,,414796344.6,496736919,666764964.7,376745648.9,479173745.3,300567293,,494365304.2,436797736
Q8TD17,5833495.284,6158754.241,11547451.4,5648864.69,5377201.517,7163532.648,4728776.957,6248470.078,6818166.803,2843320.401,2521745.012,3338305.957
C9J069,,9175162.873,8569703.952,19104123,14473713.23,20430434.68,5400612.371,,7595890.553,8051532.072,5095799.385,7699903.213
Q9UNQ2,110321261.5,133991304.7,103850806.1,99031442.37,111761582.8,108408427.9,110984334,101068281.5,112297588.2,104890266.1,122711972.7,
Q07954,31071964.09,25261706.31,46686870.4,32405508.69,33818999.22,56046209.34,29610013.95,42851962.59,60572783.59,45486859.24,29144361.91,31721164.09
Q15546,45037876.29,72761728.59,56277783.21,49698925.09,41716392.88,,49375492.72,61194710.21,50246100.09,43414186.21,49956634.04,58455521.97
Q96IS3,12243602.32,17494748.39,17744916.33,43044021.22,47365269.6,52336369.95,14762357.71,,20824758.39,12498538.34,10407154.01,17082531.96
P54792,48557326.58,43929025.7,39067903.17,55132533.7,,46007862.98,47676704.1,51456340.41,53097265.47,38714814.48,52585830.41,68038499
P41223,163328996.7,207025287.1,165909386.1,160971195.6,,,112644107.6,163659818,182874165.9,142883015.5,172724633.5,137921686.8
O15020,4199662.211,,5661728.727,,1456592.879,2120635.49,4795493.383,4526396.168,4125275.723,6709953.21,4855253.052,
O60711,4548156.209,,5959076.571,6395921.304,3564012.165,6245397.473,4486128.04,4382422.945,6338499.204,3716405.941,6842964.143,5518953.337
P13995,40922536.73,63532050.74,,43191023.49,39483116.33,54654287.83,65851330.99,69734759.59,60519479.04,48865955.35,43347375.6,87827151.03
Q9H3J6,281367478,234796726.5,288393633.7,235167486.6,319969897,343136949.7,245650933.2,242070592.7,256866849.4,243890840,252855623,252169705.1
Q9NRP2,14462885.74,15350606.27,,14772278.76,14578304.41,17424973.52,13028961.08,11982822.94,12752156.84,10342970.67,12492869.66,14576395.99
Q86XI6,14679018.29,17949434.91,18813731.74,12528928.68,,18143476.91,9060370.882,7807722.848,8450077.068,5607284.929,7293328.782,7683607.228
Q8WUX9,31107815.61,32575602.23,34917405.42,27039520.9,30501228.04,29149307.14,,26748082.13,41777301.57,25155478.28,52075713.32,51697517.8
O75783,17575680.76,13336494.51,15363740.38,12013644.35,12268009.12,17628610.44,12838740.25,15804039.31,20055662.43,21297946.37,13108222.26,24501226.49
Q5TGY3,2737991.863,3655345.246,3828014.528,,,,3249994.736,2309131.029,4167617.403,2759160.149,3017163.175,3111522.416
Q502W6,15326919.25,27114225.62,30239510.18,42915626.11,45073554.02,66868741.96,24022814.01,23228717.3,27038031.91,10091021.59,8843090.18,8009238.467
Q9Y5J6,598227841.6,626450145.8,814247696.2,691345282.4,895808850.2,669577604.3,602154549.1,657818922,650436682.2,394117671.2,665697377.2,596965003.5
P24855,12718831.9,15758832.98,20625654.54,14058864.73,12432464.98,17944781.02,,35057323.52,30424185.18,,15909013.55,11263046.26
Q9H6S3,803079380.2,,624077450.5,548705152.1,657750684.3,735991932.1,528444140.2,1388424040,841595091.3,462928469.1,419864835,648192037.6
Q9H3W5,182599377.8,258135052.3,338577443.3,237138267.4,284013579.4,226671118.2,241141207.3,366389649.1,256717774,317605047.2,,189620063.8
P98174,491359551,381264145,,521709224,441835281.8,569256619.8,511350504.9,439129324.6,339913852.7,405994356.5,414616515.2,316173737.5
P18846,18403039.44,,27025106.39,21244455.38,,29431205.65,19328549.31,19198980.64,19078238.42,20442389.47,22583224,21645076.17
Q9GZV9,47584151.86,36699415.16,41019282.35,39979214.22,50248714.88,44061308.55,35599093.76,,45077210.56,40619075.43,46575144.05,
Q5JZY3,6149442.501,6769827.1,8780543.928,5665795.869,6025858.723,6923406.654,6809873.799,6668511.374,5911445.031,6885860.936,,6413139.04
Q9GZT4,78994978.12,81674079.09,83795052.94,53376075.64,74225977.55,60891830.96,84721442.26,88932474.56,82286542.71,90068355.88,110209264,74268992.2
Q02297,43339708.35,35806164.05,31561863.97,,37474090.24,39345512.95,27736077.38,33050478.47,35248159.95,26873112.09,34246918.81,34524724.44
P20718,,14937335.33,21637896,12980807.92,14706518.77,19813646.38,25888107.16,20923970.12,,15206922.65,17330578.23,26718533.81
Q9UKJ5,156048571.7,179218683.9,223627012.2,185534515.8,283983140.1,187864395,201736412.4,291744286,156902414.5,47611062.85,44479636.77,55401455.87
Q15053,35403010.65,34343855.63,34051045.24,40405920.44,34687603.43,,47102413.66,32128314.54,43137972.24,35893758.02,27709739.49,27688498.87
P02458,3116803.874,,2854126.622,2956505.019,2539900.716,4009149.143,1764674.255,2574559.001,3151021.156,2211266.338,3447934.273,3862972.086
Q13435,51320110.04,,59509769.22,64182443.9,57358387.7,72624985.9,65559229.25,57846400.42,,49595369.07,61157766.74,
P30566,115418638.6,82999128.9,64928590.4,81501566.47,93289207.16,99867862.33,80280107.26,94448215.39,107599313.4,105153325.9,71355204.93,93920010.8
Q96T21,16065819.68,22774734.63,23875085.8,20012984.62,18066256.14,25613374.76,15043482.55,20104521.61,24832631.8,32232416.89,29202457.74,19665636.19
O00186,359441306.3,277914917.9,,338085933.5,,395805862.8,278366468.6,398852381,436080584.3,162851937.6,193077848.7,191792268.1
D3W0D1,,15131947.02,16307332.1,,13129657.72,17092502.94,29507390.31,27863704.18,29706133.52,11381269.55,13327399.28,11265458.21
Q9NP66,,28508182.63,29562923.95,,21626422.95,29331970.74,,24474783.84,35835896.33,28426811.71,21094825.45,31465488.97
O00321,,8707388.82,14756597.44,,15510564.69,8409106.308,12024545.13,8662877.797,11216859.55,10234357.5,7886320.835,8725570.533
O60879,92927108.03,73348280.16,96063488.58,73906197.34,,,93765745.29,70239850.86,94534511.98,,67705748.71,81526026.35
O96014,13569005.73,12271124.04,10838687.77,10316879.99,9424737.8,12063247.01,13442952.2,16319867.72,13000171.31,13929540.3,14402828.92,11664224.65
Q9ULJ8,149794642,75564304.95,80003920.47,180065495.8,194620736,255958307.8,143491010.6,,,307880724.3,268495498.9,332153205.7
P51157,22265716.67,19742691.6,15850100.37,29918333,18149379.26,34261826.42,17649237.38,15813970.56,23462146.88,27724144.63,42395795.28,
P23743,222587773.7,284600103.9,230180479.6,350899355.7,269717726.4,,,341440807.8,234620242.3,248252719.5,251804237.5,
P09683,3643427.944,2281386.648,4544266.719,3680512.732,2534401.89,2243211.084,2207233.75,1438775.511,1457997.687,2192276.41,3717113.805,3446850.159
P47900,10854598.41,,12930256.33,17600827.97,14264397.47,17784807.35,19191622.34,19687648.49,21917119.97,18592583.61,13941150.45,17620424.32
Q96Q77,,,,41628480.88,76287010.05,62721176.46,66229730.63,61985859.63,38133053.28,67201819.74,70485814.8,56214491.6
Q8IVB4,,553552090.2,617024782.4,640980974.9,514873120,513351419.4,,,573466317.2,683784775.5,499413968.9,645985799.6
Q04912,21295506.74,,24832586.27,,24079391.24,24907395.22,18450986.81,25533365.73,36073379.72,20970079.81,27987670.93,23960983.39
Q15109,,44635227.63,29698184.18,16121819.53,11845292.16,14102058.43,29548370.56,25845570.53,29841963.86,38256277.68,19877305.05,20918900.61
Q13361,36410299.59,37539723.68,,52966345.6,58529846.84,,38361566.04,46920930.63,76738093.96,,64175685.29,43072194.57
O76001,28117819.58,29811491.12,32326563.19,32674345.09,32453153.37,,27835015.99,33131652.67,32335549.68,28202345.96,22064884.94,
Q9Y493,64942114.46,76878593.67,81778603.11,81214446.81,71133379.62,81884606.03,67356982.23,69497373.7,71018129.29,71625795.22,76368118.05,62835750.09
P08708,162890455.3,265000178.9,293749446,194897657.9,,273599182.4,256295580.7,394759211.8,302338979.2,295515380.2,263905726.7,271010419.5
Q12767,7789645.515,13438227.79,14913667.39,13581832.21,12016273.98,19611642.81,,14159749.26,14775841.95,15037493.07,8127452.403,20075499.28
O75290,8622683.068,10226158.42,12624346.32,9457070.794,,9802342.052,,10282714.63,14621667.79,14176169.63,10939427.32,12464485.16
O60237,102897579.3,113243915,125262816.9,33993839.04,34962767.91,64444010.63,62738416.86,64540438.35,149093303,238263818.1,166375974.1,277937241.8
Q5T7W7,65669936.75,53745265.99,78663634.12,,103096679.1,104826962,,63421291.83,69985551.53,69487211.47,83491162.97,102214477.4
Q16772,38355526.7,39211322.76,45026473.87,88272774.57,107404013.2,110476381.7,,51329488.45,47837515.36,41278356.59,51966536.08,45177581.69
Q8WV41,43188417.42,44691336.39,52625440.05,43223775.49,48413238.56,54805474.63,48417358.67,,55180668.12,,71123170.45,48795863.69
Q8N1L1,70431117.02,140661753.3,99478935.28,72500648.93,120348852.9,74118574.12,66597246.35,120108723.3,102082859.6,,88463148.63,101930113.6
Q969I6,17443460.02,27829581.31,16377466.74,66736432.99,67071334.21,70642123.3,14721699.92,,19692653.42,15891221.83,16270044.99,21442400.2
A0A0A6YYK6,10301200.79,12909132.28,22650568.23,17028862.73,13931780.31,13972977.98,11386180.22,15866052.92,12961541.82,10456930.2,19414222.72,17845126.45
Q9BRJ6,1910994.224,2570761.585,2361762.292,,2118388.677,2765542.766,5460960.871,6302629.646,6303504.644,,1848543.357,2419219.8
Q8NFA2,28084958.22,32984280.37,33783173.78,39149098.83,33127845.65,39039944.75,32310061.73,34705241.5,44595013.51,40795569.48,39220296.1,46569228.28
Q496Y0,27301879.35,25977983.4,42997981.22,30648599.08,38154729.93,45190266.23,22837280.64,35247123.87,44202810.98,26786622.1,31168817.9,29703483.99
O14807,1596362244,1868068101,2619572848,615580744.3,932505540.6,1336663137,1845674606,2380352397,2156791055,1926144888,2655894855,1944702021
O00629,51768971.91,29308524.56,33795230.58,40110581.52,55421117.86,32080380.78,48170215.86,38711258.76,32091501.56,29230453.75,95044670.17,
Q06587,239238556.3,,,243435667.8,235707518.9,260455047.5,266129088.8,276741228.1,256660471.1,335226411.4,274501550.1,318877318.6
Q9UBR2,87277241.12,86101949.82,,112882160.5,171763300.8,175284393.4,86358880.26,100983570,145159379.5,,111012539.4,130125104.1
Q9Y5T5,20983955.76,21422991.69,15784869.99,,24957691.01,16700325.49,25105051.56,24470158.79,30007235.24,23741894.76,17418510.97,21055811.52
P12074,1379182345,1488830711,1072061118,1739428241,1506879842,,1409617867,2008440070,1946814307,1903999745,1317116159,2462445189
Q6UXS9,144167348.5,198125629,204928932.1,155099474.7,215915231.5,187646994.1,231039263.8,150214959.6,282678259,162969059.2,181678974.9,245194935.6
Q04837,17466199.98,16582915.51,,14157768.02,20232205.04,20369820.88,,20881466.54,26152931.47,,,28197689.52
P06127,6830860.231,6317513.11,,5210513.383,,7980317.717,5743131.976,9508904.611,8187872.122,6109223.975,7286381.089,7327786.852
Q8WWI5,5393027.681,6978469.464,5682366.036,4366340.566,,8083780.886,6924712.619,6196432.03,8089748.868,5432006.752,6281314.05,5656778.251
Q96C86,50856999.4,69486023.77,76595941.65,53146201.69,51370531.85,53743594.07,42816777.32,,,42243668.32,34027604.07,62718285.62
P83369,3226061.367,2928262.014,2837903.106,380429.218,1131068.344,,2920015.657,2464136.195,1878662.001,1884837.243,3435623.251,2838274.906
O14756,,16419856.03,28635329.91,19441220.1,16221444.98,20824664.25,27975834.9,25918907.98,21212903.57,53560749.72,39335201.75,61667324.26
Q92835,96017725.46,95994226.43,,,319158492.2,,,87130225.93,149560156.5,80277663.58,75952464.66,
Q8TCW7,14728640.41,16023596.35,,16701342.95,16014915.99,,16775555.96,18570348.89,,12673071.82,14490561.43,12502362.42
O43687,35656732.6,41174156.55,36824186.9,80753143.08,71623790.53,80310328.17,60128772.3,88878119.17,85106252.89,37337197.02,32138349.75,53444021.12
Q9UBY0,43422793.51,29747628.23,34429944.17,48921184.18,40164557.31,25297529.23,25804882.94,40311433.87,39076810.06,53777515.65,33075515.68,
Q5M8T2,24335505.33,29574735.78,42130486.34,31592829.59,,,39969992.02,14408626.03,31787411.42,35466994.63,33258873.87,51990527.31
Q9Y3C4,18892418.71,21494663.78,27640627.32,15145533.4,18594577.69,24824928.74,24138396.28,21147430.27,15474109.15,60122750.28,81245210.98,90470103.03
Q9NY25,66464466.39,60842233.84,77559988.91,65657061.11,72043453.34,66060278.12,,54417700.89,98285938.61,64453739.74,82424312.34,105599855.6
